"Site","Sample.Date","X6.2","PFUnA","NMeFOSAA","PFDS","PFNA","PFDoA","PFDA","PFTriA","PFNS","PFBA","X8.2","X4.2","PFHxA","PFPeA","PFOS","FOSA","HFPO.DA","PFBS","PFHpA","PFHpS","PFHxS","PFOA","PFPeS"
"FallsLake@MthLittleLickCreeknearMarker#13","2018-07-26","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA"
"FallsLake@MouthLedgeCreeknearCreedmoorNC","2018-07-26","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA"
"FallsLake@ChannelMarker#6nearBayleafNC","2018-07-26","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA"
"FallsLake@Marker#1nearBayleafNC","2018-07-26","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA"
"LakeMackintoshatDam","2018-05-03","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA"
"JORDANLAKEATMOUTHOFNEWHOPECREEK","2018-04-11","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA"
"JORDANLAKEABOVESTINKINGCREEKNRPITTSBORONC","2018-04-11","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","78","52","NA","NA","NA","NA","80","NA","NA","NA","NA"
"JORDANLAKEATMOUTHOFNEWHOPECREEK","2018-06-13","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA"
"JORDANLAKEATMOUTHOFMORGANCKNRFARRINGTON","2018-02-21","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA"
"JORDANLAKEATMOUTHOFMORGANCKNRFARRINGTON","2018-04-11","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA"
"GrahamMebaneReservoiratDamnearHawRiver","2018-06-07","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA"
"HAWRIVATSR1713NRBYNUM","2018-01-03","NA","NA","NA","NA","NA","NA","NA","NA","NA","54","NA","NA","170","130","590","NA","NA","NA","100","NA","71","90","NA"
"NEWHOPECRKATSR1107NRBLANDS","2018-01-03","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA"
"NORTHEASTCRKATSR1731OKELLYCHURCHRDNRDURHAM","2018-01-03","NA","NA","NA","NA","NA","NA","NA","NA","NA","55","NA","NA","NA","45","NA","NA","NA","NA","NA","NA","NA","NA","NA"
"MORGANCRKATSR1726NRFARRINGTON","2018-01-03","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA"
"JORDANLAKEABOVESTINKINGCREEKNRPITTSBORONC","2018-01-03","NA","NA","NA","NA","NA","NA","NA","NA","NA","59","NA","NA","260","150","94","NA","NA","NA","210","NA","56","62","NA"
"JORDANLAKENEARFARRINGTONNC","2018-01-03","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA"
"NeuseRiver@SR2000","2018-10-25","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA"
"FallsLake@MthLittleLickCreeknearMarker#13","2018-10-25","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA"
"FallsLake@MthLittleLickCreeknearMarker#13","2018-11-29","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA"
"CityLake,HighPoint","2018-08-22","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA"
"BlowingRockTownPond","2018-08-21","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA"
"EnoRiver@SR1004","2018-11-29","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA"
"FlatRiver@SR1004","2018-11-29","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA"
"EllerbeCreek@SR1636","2018-11-29","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA"
"FallLake@I-85nearNorthsideNC","2018-11-29","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA"
"BooneASULake","2018-08-21","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA"
"RandlemanLakeatWaterIntake","2018-07-10","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","c(NA, NA)","NA","NA","NA","NA","NA","NA","NA","NA","NA"
"KnapofReedsCreek","2018-10-25","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA"
"FallsLake@MouthLedgeCreeknearCreedmoorNC","2018-11-30","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA"
"FallsLake@Marker#1nearBayleafNC","2018-11-30","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA"
"KnapofReedsCreek","2018-08-16","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","c(NA, NA)","NA","NA","NA","NA","NA","NA","NA","NA","NA"
"FallsLake@MthLittleLickCreeknearMarker#13","2018-08-16","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","c(NA, NA)","NA","NA","NA","NA","NA","NA","NA","NA","NA"
"FallsLake@MouthLedgeCreeknearCreedmoorNC","2018-08-16","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","c(NA, NA)","NA","NA","NA","NA","NA","NA","NA","NA","NA"
"FallsLake@Marker#1nearBayleafNC","2018-08-16","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","c(NA, NA)","NA","NA","NA","NA","NA","NA","NA","NA","NA"
"LakeTownsendatDamnearGreensboro,NC","2018-07-12","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","c(NA, NA)","NA","NA","NA","NA","NA","NA","NA","NA","NA"
"FallsLake@ChannelMarker#6nearBayleafNC","2018-11-30","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA"
"FallsLake@Marker#1nearBayleafNC","2018-10-25","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA"
"RamseurLake(SandyCreekRes)","2018-08-22","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA"
"FlatRiver@SR1004","2018-08-16","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","c(NA, NA)","NA","NA","NA","NA","NA","NA","NA","NA","NA"
"EllerbeCreek@SR1636","2018-08-16","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","c(NA, NA)","NA","NA","NA","NA","NA","NA","NA","NA","NA"
"NeuseRiver@SR2000","2018-08-16","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","c(NA, NA)","NA","NA","NA","NA","NA","NA","NA","NA","NA"
"ReidsvilleLakeatDam","2018-07-12","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","c(NA, NA)","NA","NA","NA","NA","NA","NA","NA","NA","NA"
"EnoRiver@SR1004","2018-10-25","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA"
"FlatRiver@SR1004","2018-10-25","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA"
"KnapofReedsCreek","2018-11-29","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","46","NA","NA","NA","NA","NA","NA","NA","NA"
"FallsLake@MouthLedgeCreeknearCreedmoorNC","2018-10-25","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA"
"FallsLake@ChannelMarker#6nearBayleafNC","2018-10-25","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA"
"OakHollowLake,HighPoint","2018-08-22","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA"
"EnoRiver@SR1004","2018-08-16","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","c(NA, NA)","NA","NA","NA","NA","NA","NA","NA","NA","NA"
"FallLake@I-85nearNorthsideNC","2018-08-16","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","c(NA, NA)","NA","NA","NA","NA","NA","NA","NA","NA","NA"
"LakeBrandtatDamnearHillsdale","2018-07-12","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","c(NA, NA)","68","NA","NA","NA","NA","NA","NA","NA","NA"
"NeuseRiver@SR2000","2018-11-29","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA"
"FallLake@I-85nearNorthsideNC","2018-10-25","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA"
"BuckeyeLake,BeechMtn","2018-08-21","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA"
"StonyCreekResatDam","2018-07-10","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","c(NA, NA)","NA","NA","NA","NA","NA","NA","NA","NA","NA"
"EllerbeCreek@SR1636","2018-10-25","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA"
"FallsLake@ChannelMarker#6nearBayleafNC","2018-08-16","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","c(NA, NA)","NA","NA","NA","NA","NA","NA","NA","NA","NA"
"TurnerReservoiratLacy'sCreek","2018-07-10","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","c(NA, NA)","NA","NA","NA","NA","NA","NA","NA","NA","NA"
"HAWRIVATSR1713NRBYNUM","2018-03-22","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","46","NA","NA","NA","NA"
"THIRDFORKCRKATNC54NRDURHAM","2018-03-22","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA"
"NEWHOPECRKATSR1107NRBLANDS","2018-03-22","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA"
"NORTHEASTCRKATSR1100NRNELSON","2018-03-22","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA"
"PHILSCRKNRCAVANDER","2018-03-22","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA"
"MORGANCRKATSR1726NRFARRINGTON","2018-03-22","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA"
"JORDANLAKEATNARROWSNEARBONSAL","2018-03-22","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","82","56","NA","NA","NA","NA","55","NA","NA","NA","NA"
"HAWRIVBELOWJORDANDAMNRMONCURE","2018-03-22","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","48","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA"
"JORDANLAKEABOVESTINKINGCREEKNRPITTSBORONC","2018-03-22","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","38","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA"
"JORDANLAKEATMOUTHOFNEWHOPECREEK","2018-03-22","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA"
"JORDANLAKEATMOUTHOFMORGANCKNRFARRINGTON","2018-03-22","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA"
"JORDANLAKENEARFARRINGTONNC","2018-03-22","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA"
