Site,Analyte,Sample.Date,ppt,lab.qual
Wilmington-M'Kean.Maffitt(Southside.WWTP,Nafion.Byproduct.1,9/9/2019,,3.54
Wilmington-James.A.Loughlin(Northside.WWTP,Nafion.Byproduct.1,9/9/2019,,3.72
Wilmington-James.A.Loughlin(Northside.WWTP,Nafion.Byproduct.2,9/9/2019,1.88,
Wilmington-M'Kean.Maffitt(Southside.WWTP,Nafion.Byproduct.2,9/9/2019,2.48,
Wilmington-M'Kean.Maffitt(Southside.WWTP,N.EtFOSE,9/9/2019,,1.77
Wilmington-James.A.Loughlin(Northside.WWTP,N.EtFOSE,9/9/2019,,1.86
Wilmington-M'Kean.Maffitt(Southside.WWTP,N.MeFOSA,9/9/2019,,17.7
Wilmington-James.A.Loughlin(Northside.WWTP,N.MeFOSA,9/9/2019,,18.6
Wilmington-M'Kean.Maffitt(Southside.WWTP,N.MeFOSE,9/9/2019,,8.86
Wilmington-James.A.Loughlin(Northside.WWTP,N.MeFOSE,9/9/2019,,9.29
Wilmington-M'Kean.Maffitt(Southside.WWTP,PF3ONS,9/9/2019,,1.65
Wilmington-James.A.Loughlin(Northside.WWTP,PF3ONS,9/9/2019,,1.73
Wilmington-M'Kean.Maffitt(Southside.WWTP,PF3OUdS,9/9/2019,,3.34
Wilmington-James.A.Loughlin(Northside.WWTP,PF3OUdS,9/9/2019,,3.5
Cit.of.Clinton-Norman.H.Larkins.WWTP,PFBA,9/9/2019,,1.34
City.of.Durham-South.Durham.Water.Reclamation,PFBA,9/9/2019,,4.87
Wilmington-James.A.Loughlin(Northside.WWTP,PFBA,9/9/2019,9.73,
Wilmington-M'Kean.Maffitt(Southside.WWTP,PFBA,9/9/2019,15,
Durham.County.Triangle.Wastewater.Treatment.Plant,PFBA,9/9/2019,44.8,
Cit.of.Clinton-Norman.H.Larkins.WWTP,PFBS,9/9/2019,,1.34
Durham.County.Triangle.Wastewater.Treatment.Plant,PFBS,9/9/2019,,1.89
City.of.Durham-South.Durham.Water.Reclamation,PFBS,9/9/2019,,4.87
Wilmington-James.A.Loughlin(Northside.WWTP,PFBS,9/9/2019,11,
Wilmington-M'Kean.Maffitt(Southside.WWTP,PFBS,9/9/2019,9.18,
City.of.Durham-South.Durham.Water.Reclamation,PFDA,9/9/2019,,0.422
Wilmington-M'Kean.Maffitt(Southside.WWTP,PFDA,9/9/2019,,1.77
Durham.County.Triangle.Wastewater.Treatment.Plant,PFDA,9/9/2019,,1.89
Wilmington-James.A.Loughlin(Northside.WWTP,PFDA,9/9/2019,1.64,
Cit.of.Clinton-Norman.H.Larkins.WWTP,PFDA,9/9/2019,0.452,
Cit.of.Clinton-Norman.H.Larkins.WWTP,PFDoA,9/9/2019,,1.34
Wilmington-M'Kean.Maffitt(Southside.WWTP,PFDoA,9/9/2019,,1.77
Wilmington-James.A.Loughlin(Northside.WWTP,PFDoA,9/9/2019,,1.86
Durham.County.Triangle.Wastewater.Treatment.Plant,PFDoA,9/9/2019,,1.89
City.of.Durham-South.Durham.Water.Reclamation,PFDoA,9/9/2019,,4.87
Cit.of.Clinton-Norman.H.Larkins.WWTP,PFDS,9/9/2019,,1.34
Wilmington-M'Kean.Maffitt(Southside.WWTP,PFDS,9/9/2019,,1.72
Wilmington-James.A.Loughlin(Northside.WWTP,PFDS,9/9/2019,,1.8
Durham.County.Triangle.Wastewater.Treatment.Plant,PFDS,9/9/2019,,1.89
City.of.Durham-South.Durham.Water.Reclamation,PFDS,9/9/2019,,4.87
Wilmington-M'Kean.Maffitt(Southside.WWTP,PFECA.G,9/9/2019,,3.54
Wilmington-James.A.Loughlin(Northside.WWTP,PFECA.G,9/9/2019,,3.72
City.of.Durham-South.Durham.Water.Reclamation,PFHpA,9/9/2019,,4.87
Wilmington-James.A.Loughlin(Northside.WWTP,PFHpA,9/9/2019,7.69,
Wilmington-M'Kean.Maffitt(Southside.WWTP,PFHpA,9/9/2019,7.68,
Cit.of.Clinton-Norman.H.Larkins.WWTP,PFHpA,9/9/2019,4.01,
Durham.County.Triangle.Wastewater.Treatment.Plant,PFHpA,9/9/2019,1.99,
Cit.of.Clinton-Norman.H.Larkins.WWTP,PFHpS,9/9/2019,,1.34
Wilmington-M'Kean.Maffitt(Southside.WWTP,PFHpS,9/9/2019,,1.68
Wilmington-James.A.Loughlin(Northside.WWTP,PFHpS,9/9/2019,,1.76
Durham.County.Triangle.Wastewater.Treatment.Plant,PFHpS,9/9/2019,,1.89
City.of.Durham-South.Durham.Water.Reclamation,PFHpS,9/9/2019,,4.87
City.of.Durham-South.Durham.Water.Reclamation,PFHxA,9/9/2019,,4.87
Wilmington-James.A.Loughlin(Northside.WWTP,PFHxA,9/9/2019,17.6,
Wilmington-M'Kean.Maffitt(Southside.WWTP,PFHxA,9/9/2019,14,
Cit.of.Clinton-Norman.H.Larkins.WWTP,PFHxA,9/9/2019,9.21,
Durham.County.Triangle.Wastewater.Treatment.Plant,PFHxA,9/9/2019,5.73,
Wilmington-M'Kean.Maffitt(Southside.WWTP,PFHxDA,9/9/2019,,8.86
Wilmington-James.A.Loughlin(Northside.WWTP,PFHxDA,9/9/2019,,9.29
Cit.of.Clinton-Norman.H.Larkins.WWTP,PFHxS,9/9/2019,,1.34
Durham.County.Triangle.Wastewater.Treatment.Plant,PFHxS,9/9/2019,,1.89
City.of.Durham-South.Durham.Water.Reclamation,PFHxS,9/9/2019,,4.87
Wilmington-James.A.Loughlin(Northside.WWTP,PFHxS,9/9/2019,4.31,
Wilmington-M'Kean.Maffitt(Southside.WWTP,PFHxS,9/9/2019,4.17,
Wilmington-James.A.Loughlin(Northside.WWTP,PFMOAA,9/9/2019,55.5,
Wilmington-M'Kean.Maffitt(Southside.WWTP,PFMOAA,9/9/2019,69.3,
Wilmington-James.A.Loughlin(Northside.WWTP,PFMOBA,9/9/2019,2.72,
Wilmington-M'Kean.Maffitt(Southside.WWTP,PFMOBA,9/9/2019,2.96,
Wilmington-James.A.Loughlin(Northside.WWTP,PFMOPrA,9/9/2019,17.6,
Wilmington-M'Kean.Maffitt(Southside.WWTP,PFMOPrA,9/9/2019,21.4,
City.of.Durham-South.Durham.Water.Reclamation,PFNA,9/9/2019,,4.87
Wilmington-M'Kean.Maffitt(Southside.WWTP,PFNA,9/9/2019,1.09,
Cit.of.Clinton-Norman.H.Larkins.WWTP,PFNA,9/9/2019,0.503,
Durham.County.Triangle.Wastewater.Treatment.Plant,PFNA,9/9/2019,0.728,
Wilmington-James.A.Loughlin(Northside.WWTP,PFNA,9/9/2019,2.04,
Cit.of.Clinton-Norman.H.Larkins.WWTP,PFNS,9/9/2019,,1.34
Wilmington-M'Kean.Maffitt(Southside.WWTP,PFNS,9/9/2019,,1.7
Wilmington-James.A.Loughlin(Northside.WWTP,PFNS,9/9/2019,,1.78
Durham.County.Triangle.Wastewater.Treatment.Plant,PFNS,9/9/2019,,1.89
City.of.Durham-South.Durham.Water.Reclamation,PFNS,9/9/2019,,4.87
Wilmington-James.A.Loughlin(Northside.WWTP,PFO2HxA,9/9/2019,46.8,
Wilmington-M'Kean.Maffitt(Southside.WWTP,PFO2HxA,9/9/2019,60.8,
Wilmington-James.A.Loughlin(Northside.WWTP,PFO3OA,9/9/2019,19.7,
Wilmington-M'Kean.Maffitt(Southside.WWTP,PFO3OA,9/9/2019,25.3,
Wilmington-James.A.Loughlin(Northside.WWTP,PFO4DA,9/9/2019,5.9,
Wilmington-M'Kean.Maffitt(Southside.WWTP,PFO4DA,9/9/2019,7.9,
Wilmington-James.A.Loughlin(Northside.WWTP,PFOA,9/9/2019,10.9,
Wilmington-M'Kean.Maffitt(Southside.WWTP,PFOA,9/9/2019,6.98,
Cit.of.Clinton-Norman.H.Larkins.WWTP,PFOA,9/9/2019,4.07,
City.of.Durham-South.Durham.Water.Reclamation,PFOA,9/9/2019,5.86,
Durham.County.Triangle.Wastewater.Treatment.Plant,PFOA,9/9/2019,5.92,
Wilmington-James.A.Loughlin(Northside.WWTP,PFOS,9/9/2019,19.3,
Wilmington-M'Kean.Maffitt(Southside.WWTP,PFOS,9/9/2019,11.8,
Cit.of.Clinton-Norman.H.Larkins.WWTP,PFOS,9/9/2019,10.2,
City.of.Durham-South.Durham.Water.Reclamation,PFOS,9/9/2019,8.44,
Durham.County.Triangle.Wastewater.Treatment.Plant,PFOS,9/9/2019,6.89,
Cit.of.Clinton-Norman.H.Larkins.WWTP,PFOSA,9/9/2019,,1.34
Wilmington-M'Kean.Maffitt(Southside.WWTP,PFOSA,9/9/2019,,1.65
Wilmington-James.A.Loughlin(Northside.WWTP,PFOSA,9/9/2019,,1.73
Durham.County.Triangle.Wastewater.Treatment.Plant,PFOSA,9/9/2019,,2.86
City.of.Durham-South.Durham.Water.Reclamation,PFOSA,9/9/2019,,4.87
Durham.County.Triangle.Wastewater.Treatment.Plant,PFPeA,9/9/2019,,1.89
Wilmington-James.A.Loughlin(Northside.WWTP,PFPeA,9/9/2019,20.3,
Wilmington-M'Kean.Maffitt(Southside.WWTP,PFPeA,9/9/2019,18.4,
Cit.of.Clinton-Norman.H.Larkins.WWTP,PFPeA,9/9/2019,115,
City.of.Durham-South.Durham.Water.Reclamation,PFPeA,9/9/2019,205,
Cit.of.Clinton-Norman.H.Larkins.WWTP,PFPeS,9/9/2019,,1.34
Wilmington-M'Kean.Maffitt(Southside.WWTP,PFPeS,9/9/2019,,1.67
Wilmington-James.A.Loughlin(Northside.WWTP,PFPeS,9/9/2019,,1.75
Durham.County.Triangle.Wastewater.Treatment.Plant,PFPeS,9/9/2019,,1.89
City.of.Durham-South.Durham.Water.Reclamation,PFPeS,9/9/2019,,4.87
Wilmington-James.A.Loughlin(Northside.WWTP,PFPrOPrA,9/9/2019,9.81,
Wilmington-M'Kean.Maffitt(Southside.WWTP,PFPrOPrA,9/9/2019,11.8,
Cit.of.Clinton-Norman.H.Larkins.WWTP,PFTeA,9/9/2019,,1.34
Durham.County.Triangle.Wastewater.Treatment.Plant,PFTeA,9/9/2019,,1.89
City.of.Durham-South.Durham.Water.Reclamation,PFTeA,9/9/2019,,4.87
Wilmington-M'Kean.Maffitt(Southside.WWTP,PFTeA,9/9/2019,,8.86
Wilmington-James.A.Loughlin(Northside.WWTP,PFTeA,9/9/2019,,9.29
Cit.of.Clinton-Norman.H.Larkins.WWTP,PFTriA,9/9/2019,,1.34
Wilmington-M'Kean.Maffitt(Southside.WWTP,PFTriA,9/9/2019,,1.77
Wilmington-James.A.Loughlin(Northside.WWTP,PFTriA,9/9/2019,,1.86
Durham.County.Triangle.Wastewater.Treatment.Plant,PFTriA,9/9/2019,,1.89
City.of.Durham-South.Durham.Water.Reclamation,PFTriA,9/9/2019,,4.87
Cit.of.Clinton-Norman.H.Larkins.WWTP,PFUnA,9/9/2019,,1.34
Wilmington-M'Kean.Maffitt(Southside.WWTP,PFUnA,9/9/2019,,1.77
Wilmington-James.A.Loughlin(Northside.WWTP,PFUnA,9/9/2019,,1.86
Durham.County.Triangle.Wastewater.Treatment.Plant,PFUnA,9/9/2019,,1.89
City.of.Durham-South.Durham.Water.Reclamation,PFUnA,9/9/2019,,4.87
Siler.City.Waste.Water.Treatment.Plant,N.EtFOSAA,9/8/2019,,1.68
Siler.City.Waste.Water.Treatment.Plant,N.MeFOSAA,9/8/2019,,1.68
Siler.City.Waste.Water.Treatment.Plant,PFBA,9/8/2019,,1.68
Siler.City.Waste.Water.Treatment.Plant,PFBS,9/8/2019,,1.68
Siler.City.Waste.Water.Treatment.Plant,PFDA,9/8/2019,,1.68
Siler.City.Waste.Water.Treatment.Plant,PFDoA,9/8/2019,,1.68
Siler.City.Waste.Water.Treatment.Plant,PFDS,9/8/2019,,1.68
Siler.City.Waste.Water.Treatment.Plant,PFHpA,9/8/2019,2.05,
Siler.City.Waste.Water.Treatment.Plant,PFHpS,9/8/2019,,1.68
Siler.City.Waste.Water.Treatment.Plant,PFHxA,9/8/2019,6.15,
Siler.City.Waste.Water.Treatment.Plant,PFHxS,9/8/2019,1.46,
Siler.City.Waste.Water.Treatment.Plant,PFNA,9/8/2019,,1.68
Siler.City.Waste.Water.Treatment.Plant,PFNS,9/8/2019,,1.68
Siler.City.Waste.Water.Treatment.Plant,PFOA,9/8/2019,3.71,
Siler.City.Waste.Water.Treatment.Plant,PFOS,9/8/2019,3.89,
Siler.City.Waste.Water.Treatment.Plant,PFOSA,9/8/2019,,2.53
Siler.City.Waste.Water.Treatment.Plant,PFPeA,9/8/2019,,1.68
Siler.City.Waste.Water.Treatment.Plant,PFPeS,9/8/2019,,1.68
Siler.City.Waste.Water.Treatment.Plant,PFTeA,9/8/2019,,1.68
Siler.City.Waste.Water.Treatment.Plant,PFTriA,9/8/2019,,1.68
Siler.City.Waste.Water.Treatment.Plant,PFUnA,9/8/2019,,1.68
City.of.Asheboro.WWTP,HFPO.DA,9/5/2019,,
City.of.Asheboro.WWTP,N.EtFOSAA,9/5/2019,4.09,
City.of.Asheboro.WWTP,N.MeFOSAA,9/5/2019,,1.7
City.of.Asheboro.WWTP,PFBA,9/5/2019,,1.7
City.of.Asheboro.WWTP,PFBS,9/5/2019,,1.7
City.of.Asheboro.WWTP,PFDA,9/5/2019,4.51,
City.of.Asheboro.WWTP,PFDoA,9/5/2019,7.07,
City.of.Asheboro.WWTP,PFDS,9/5/2019,24.4,
City.of.Asheboro.WWTP,PFHpA,9/5/2019,5.95,
City.of.Asheboro.WWTP,PFHpS,9/5/2019,2.03,
City.of.Asheboro.WWTP,PFHxA,9/5/2019,12.4,
City.of.Asheboro.WWTP,PFHxS,9/5/2019,,1.7
City.of.Asheboro.WWTP,PFNA,9/5/2019,3.87,
City.of.Asheboro.WWTP,PFNS,9/5/2019,2.19,
City.of.Asheboro.WWTP,PFOA,9/5/2019,11.7,
City.of.Asheboro.WWTP,PFOS,9/5/2019,19.2,
City.of.Asheboro.WWTP,PFOSA,9/5/2019,,2.57
City.of.Asheboro.WWTP,PFPeA,9/5/2019,,1.7
City.of.Asheboro.WWTP,PFPeS,9/5/2019,,1.7
City.of.Asheboro.WWTP,PFTeA,9/5/2019,11.4,
City.of.Asheboro.WWTP,PFTriA,9/5/2019,7.15,
City.of.Asheboro.WWTP,PFUnA,9/5/2019,5.04,
Town.of.Ramseur.WWTP,4.2,9/4/2019,,1.24
North.Harnett.Regional,4.2,9/4/2019,,1.28
Sanford-Big.Buffalo.Creek.WWTP,4.2,9/4/2019,6.86,
Town.of.Ramseur.WWTP,6.2,9/4/2019,,1.24
North.Harnett.Regional,6.2,9/4/2019,,1.28
Sanford-Big.Buffalo.Creek.WWTP,6.2,9/4/2019,2650,
Town.of.Ramseur.WWTP,8.2,9/4/2019,,1.24
North.Harnett.Regional,8.2,9/4/2019,0.157,
Sanford-Big.Buffalo.Creek.WWTP,8.2,9/4/2019,4.68,
Town.of.Ramseur.WWTP,HFPO.DA,9/4/2019,,43.3
North.Harnett.Regional,HFPO.DA,9/4/2019,,44.91
Sanford-Big.Buffalo.Creek.WWTP,HFPO.DA,9/4/2019,,45.6
Town.of.Ramseur.WWTP,N.EtFOSAA,9/4/2019,,1.24
North.Harnett.Regional,N.EtFOSAA,9/4/2019,,1.28
Sanford-Big.Buffalo.Creek.WWTP,N.EtFOSAA,9/4/2019,,1.3
Cary.Western.Wake.Regional.Water.Reclamation.Facility,N.EtFOSAA,9/4/2019,,9.7
Town.of.Ramseur.WWTP,N.MeFOSAA,9/4/2019,,1.24
North.Harnett.Regional,N.MeFOSAA,9/4/2019,,1.28
Sanford-Big.Buffalo.Creek.WWTP,N.MeFOSAA,9/4/2019,,1.3
Cary.Western.Wake.Regional.Water.Reclamation.Facility,N.MeFOSAA,9/4/2019,,12
Town.of.Ramseur.WWTP,PFBA,9/4/2019,,1.24
Sanford-Big.Buffalo.Creek.WWTP,PFBA,9/4/2019,,1.3
Cary.Western.Wake.Regional.Water.Reclamation.Facility,PFBA,9/4/2019,,39
North.Harnett.Regional,PFBA,9/4/2019,13.2,
Town.of.Ramseur.WWTP,PFBS,9/4/2019,,1.24
North.Harnett.Regional,PFBS,9/4/2019,,1.28
Sanford-Big.Buffalo.Creek.WWTP,PFBS,9/4/2019,,1.3
Cary.Western.Wake.Regional.Water.Reclamation.Facility,PFBS,9/4/2019,,9.7
Town.of.Ramseur.WWTP,PFDA,9/4/2019,,1.24
Sanford-Big.Buffalo.Creek.WWTP,PFDA,9/4/2019,,1.3
Cary.Western.Wake.Regional.Water.Reclamation.Facility,PFDA,9/4/2019,,9.7
North.Harnett.Regional,PFDA,9/4/2019,0.24,
Town.of.Ramseur.WWTP,PFDoA,9/4/2019,,1.24
North.Harnett.Regional,PFDoA,9/4/2019,,1.28
Sanford-Big.Buffalo.Creek.WWTP,PFDoA,9/4/2019,,1.3
Cary.Western.Wake.Regional.Water.Reclamation.Facility,PFDoA,9/4/2019,,9.7
Town.of.Ramseur.WWTP,PFDS,9/4/2019,,1.24
North.Harnett.Regional,PFDS,9/4/2019,,1.28
Sanford-Big.Buffalo.Creek.WWTP,PFDS,9/4/2019,,1.3
Cary.Western.Wake.Regional.Water.Reclamation.Facility,PFDS,9/4/2019,,9.7
Town.of.Ramseur.WWTP,PFHpA,9/4/2019,,1.24
Cary.Western.Wake.Regional.Water.Reclamation.Facility,PFHpA,9/4/2019,,9.7
North.Harnett.Regional,PFHpA,9/4/2019,29.9,
Sanford-Big.Buffalo.Creek.WWTP,PFHpA,9/4/2019,122,
Town.of.Ramseur.WWTP,PFHpS,9/4/2019,,1.24
North.Harnett.Regional,PFHpS,9/4/2019,,1.28
Cary.Western.Wake.Regional.Water.Reclamation.Facility,PFHpS,9/4/2019,,9.7
Sanford-Big.Buffalo.Creek.WWTP,PFHpS,9/4/2019,16.6,
Cary.Western.Wake.Regional.Water.Reclamation.Facility,PFHxA,9/4/2019,14,
North.Harnett.Regional,PFHxA,9/4/2019,36.2,
Town.of.Ramseur.WWTP,PFHxA,9/4/2019,4.64,
Sanford-Big.Buffalo.Creek.WWTP,PFHxA,9/4/2019,61.8,
Town.of.Ramseur.WWTP,PFHxS,9/4/2019,,1.24
North.Harnett.Regional,PFHxS,9/4/2019,,1.28
Cary.Western.Wake.Regional.Water.Reclamation.Facility,PFHxS,9/4/2019,,9.7
Sanford-Big.Buffalo.Creek.WWTP,PFHxS,9/4/2019,21.3,
Town.of.Ramseur.WWTP,PFNA,9/4/2019,,1.24
Cary.Western.Wake.Regional.Water.Reclamation.Facility,PFNA,9/4/2019,,9.7
North.Harnett.Regional,PFNA,9/4/2019,0.94,
Sanford-Big.Buffalo.Creek.WWTP,PFNA,9/4/2019,2.07,
Town.of.Ramseur.WWTP,PFNS,9/4/2019,,1.24
North.Harnett.Regional,PFNS,9/4/2019,,1.28
Sanford-Big.Buffalo.Creek.WWTP,PFNS,9/4/2019,,1.3
Cary.Western.Wake.Regional.Water.Reclamation.Facility,PFNS,9/4/2019,,9.7
Cary.Western.Wake.Regional.Water.Reclamation.Facility,PFOA,9/4/2019,,9.7
North.Harnett.Regional,PFOA,9/4/2019,7.9,
Town.of.Ramseur.WWTP,PFOA,9/4/2019,1.96,
Sanford-Big.Buffalo.Creek.WWTP,PFOA,9/4/2019,11,
Cary.Western.Wake.Regional.Water.Reclamation.Facility,PFOS,9/4/2019,,9.7
North.Harnett.Regional,PFOS,9/4/2019,12.6,
Town.of.Ramseur.WWTP,PFOS,9/4/2019,8.06,
Sanford-Big.Buffalo.Creek.WWTP,PFOS,9/4/2019,1000,
Town.of.Ramseur.WWTP,PFOSA,9/4/2019,,1.24
North.Harnett.Regional,PFOSA,9/4/2019,,1.28
Sanford-Big.Buffalo.Creek.WWTP,PFOSA,9/4/2019,,1.3
Cary.Western.Wake.Regional.Water.Reclamation.Facility,PFOSA,9/4/2019,,9.7
Cary.Western.Wake.Regional.Water.Reclamation.Facility,PFPeA,9/4/2019,18,
North.Harnett.Regional,PFPeA,9/4/2019,139,
Town.of.Ramseur.WWTP,PFPeA,9/4/2019,313,
Sanford-Big.Buffalo.Creek.WWTP,PFPeA,9/4/2019,130,
Town.of.Ramseur.WWTP,PFPeS,9/4/2019,,1.24
North.Harnett.Regional,PFPeS,9/4/2019,,1.28
Sanford-Big.Buffalo.Creek.WWTP,PFPeS,9/4/2019,,1.3
Cary.Western.Wake.Regional.Water.Reclamation.Facility,PFPeS,9/4/2019,,9.7
North.Harnett.Regional,PFTeA,9/4/2019,,1.28
Sanford-Big.Buffalo.Creek.WWTP,PFTeA,9/4/2019,,1.3
Cary.Western.Wake.Regional.Water.Reclamation.Facility,PFTeA,9/4/2019,,9.7
Town.of.Ramseur.WWTP,PFTeA,9/4/2019,,1.24
North.Harnett.Regional,PFTriA,9/4/2019,,1.28
Sanford-Big.Buffalo.Creek.WWTP,PFTriA,9/4/2019,,1.3
Cary.Western.Wake.Regional.Water.Reclamation.Facility,PFTriA,9/4/2019,,9.7
Town.of.Ramseur.WWTP,PFTriA,9/4/2019,,1.24
Town.of.Ramseur.WWTP,PFUnA,9/4/2019,,1.24
North.Harnett.Regional,PFUnA,9/4/2019,,1.28
Sanford-Big.Buffalo.Creek.WWTP,PFUnA,9/4/2019,,1.3
Cary.Western.Wake.Regional.Water.Reclamation.Facility,PFUnA,9/4/2019,,9.7
Northeast.Brunswick.Regional,4.2,9/3/2019,,1.34
Northeast.Brunswick.Regional,6.2,9/3/2019,0.617,
Northeast.Brunswick.Regional,8.2,9/3/2019,1.09,
Northeast.Brunswick.Regional,HFPO.DA,9/3/2019,,46.8
Northeast.Brunswick.Regional,N.EtFOSAA,9/3/2019,,1.34
Northeast.Brunswick.Regional,N.MeFOSAA,9/3/2019,,1.34
Northeast.Brunswick.Regional,PFBA,9/3/2019,,1.34
Northeast.Brunswick.Regional,PFBS,9/3/2019,,1.34
Northeast.Brunswick.Regional,PFDA,9/3/2019,3.27,
Northeast.Brunswick.Regional,PFDoA,9/3/2019,1.02,
Northeast.Brunswick.Regional,PFDS,9/3/2019,,1.34
Northeast.Brunswick.Regional,PFHpA,9/3/2019,18.8,
Northeast.Brunswick.Regional,PFHpS,9/3/2019,,1.34
Northeast.Brunswick.Regional,PFHxA,9/3/2019,29.5,
Northeast.Brunswick.Regional,PFHxS,9/3/2019,,1.34
Northeast.Brunswick.Regional,PFNA,9/3/2019,1.13,
Northeast.Brunswick.Regional,PFNS,9/3/2019,,1.34
Northeast.Brunswick.Regional,PFOA,9/3/2019,11.2,
Northeast.Brunswick.Regional,PFOS,9/3/2019,,1.34
Northeast.Brunswick.Regional,PFOSA,9/3/2019,,1.34
Northeast.Brunswick.Regional,PFPeA,9/3/2019,,1.34
Northeast.Brunswick.Regional,PFPeS,9/3/2019,,1.34
Northeast.Brunswick.Regional,PFTeA,9/3/2019,0.639,
